GP_2-3,MIN_2-3,PTS_2-3,FGM_2-3,FGA_2-3,FG%_2-3,3PM_2-3,3PA_2-3,3P%_2-3,FTM_2-3,FTA_2-3,FT%_2-3,OREB_2-3,DREB_2-3,REB_2-3,AST_2-3,STL_2-3,BLK_2-3,TOV_2-3,EFF_2-3,GP_1-2,MIN_1-2,PTS_1-2,FGM_1-2,FGA_1-2,FG%_1-2,3PM_1-2,3PA_1-2,3P%_1-2,FTM_1-2,FTA_1-2,FT%_1-2,OREB_1-2,DREB_1-2,REB_1-2,AST_1-2,STL_1-2,BLK_1-2,TOV_1-2,EFF_1-2,GP_0-1,MIN_0-1,PTS_0-1,FGM_0-1,FGA_0-1,FG%_0-1,3PM_0-1,3PA_0-1,3P%_0-1,FTM_0-1,FTA_0-1,FT%_0-1,OREB_0-1,DREB_0-1,REB_0-1,AST_0-1,STL_0-1,BLK_0-1,TOV_0-1,EFF_0-1
7,30.3,15.4,5.3,10.0,52.9,1.7,3.1,54.5,3.1,3.7,84.6,2.7,4.0,6.7,3.1,0.7,0.3,1.3,19.7,73,31.5,13.9,5.5,9.8,55.6,0.5,1.9,29.0,2.4,3.7,65.8,2.4,4.1,6.5,3.5,0.8,0.6,1.4,18.2,68,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,2.4,4.1,6.6,3.0,0.8,0.8,1.4,19.3
11,21.5,10.2,4.1,8.3,49.5,1.5,3.3,47.2,0.5,0.5,100,1.2,2.8,4.0,2.2,0.9,0.4,0.7,12.7,78,15.7,6.9,2.7,4.8,56.2,0.8,1.6,49.2,0.7,0.9,78.9,0.8,1.6,2.4,1.1,0.7,0.2,0.7,8.4,70,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1.0,83.1,1.0,2.0,3.0,1.1,0.6,0.2,0.8,8.3
11,26.5,8.6,3.2,6.5,49.3,2.0,4.5,44.0,0.3,0.3,100,0.9,4.6,5.5,2.4,1.0,0.6,1.0,13.9,65,26.8,8.6,3.3,6.4,51.1,1.7,4.0,41.9,0.4,0.5,86.7,1.3,5.1,6.4,2.6,0.6,1.0,0.7,15.2,63,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5.0,6.2,3.0,0.5,1.0,0.6,15.7
11,19.5,4.2,1.5,5.0,30.9,0.6,2.9,21.9,0.5,0.6,71.4,0.8,2.1,2.9,2.3,1.7,0.6,0.6,7.5,71,28.7,10.1,3.6,7.6,46.8,1.9,4.7,40.8,1.0,1.4,76.0,0.9,3.0,3.8,3.5,1.7,1.0,1.4,14.3,67,23.5,5.6,1.9,4.3,45.5,0.8,2.3,36.4,0.9,1.1,80.8,0.6,2.3,2.9,2.9,1.5,0.7,1.1,9.9
11,28.6,17.8,7.0,14.6,47.8,0.5,1.5,31.3,3.4,4.5,74.0,3.8,7.7,11.5,3.8,0.9,1.3,2.0,24.5,63,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,2.9,6.4,9.3,5.0,1.2,0.7,2.6,25.9,75,28.9,14.8,5.9,10.7,55.3,0.3,0.8,33.3,2.7,3.8,71.5,3.2,5.8,9.0,3.9,0.9,0.9,2.6,21.1
9,26.1,9.7,3.8,7.6,50.0,0.1,0.4,25.0,2.0,3.8,52.9,3.8,6.9,10.7,0.4,1.6,0.4,2.2,15.0,79,17.1,8.4,3.4,6.1,55.6,0.0,0.0,0.0,1.6,2.8,59.2,3.4,5.6,9.0,0.5,0.9,0.6,1.0,14.5,67,12.7,6.0,2.5,4.1,60.6,0.0,0.0,0.0,1.0,1.9,53.6,2.1,4.6,6.6,0.5,0.7,0.4,1.1,10.6
7,26.7,7.3,2.9,7.4,38.5,0.4,1.9,23.1,1.1,1.4,80.0,0.1,1.9,2.0,4.7,0.9,0.0,1.4,8.6,68,25.0,9.2,3.8,7.7,49.8,0.9,2.5,35.7,0.7,0.8,80.4,0.5,1.5,2.1,4.1,0.9,0.1,1.5,10.9,75,27.7,9.5,3.8,8.6,44.1,1.2,3.5,35.0,0.7,0.8,79.0,0.5,2.2,2.7,4.5,0.9,0.2,1.7,11.1
10,36.2,28.3,9.9,20.9,47.4,5.4,11.8,45.8,3.1,4.6,67.4,0.5,5.3,5.8,3.8,0.9,0.5,3.6,23.2,79,35.1,25.9,9.1,19.7,46.1,2.4,6.7,35.7,5.4,6.4,83.6,0.7,4.8,5.4,5.1,1.3,0.5,3.1,23.6,79,36.0,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4.0,5.3,75.6,0.6,5.2,5.8,4.4,1.6,0.7,3.3,22.0
10,34.3,18.7,6.6,13.6,48.5,2.7,7.3,37.0,2.8,3.6,77.8,0.9,3.6,4.5,5.2,1.4,0.4,2.3,20.1,82,32.1,15.9,5.6,11.5,48.6,1.9,5.1,36.7,2.8,3.3,85.3,0.7,3.6,4.3,5.5,0.8,0.3,2.1,18.2,64,28.8,13.0,4.0,7.7,52.9,1.3,3.4,39.8,3.6,4.1,86.4,0.5,2.5,3.0,3.4,0.5,0.3,1.5,14.5
11,28.5,10.7,4.0,9.7,41.1,1.0,4.5,22.0,1.7,1.9,90.5,0.7,3.9,4.6,4.0,0.1,0.5,1.3,12.7,76,29.1,12.2,4.7,9.5,50.1,1.6,3.9,40.3,1.1,1.4,81.0,0.7,2.1,2.8,3.2,0.9,0.5,1.4,13.2,80,26.2,8.6,3.5,7.1,49.3,0.7,2.4,31.2,0.8,1.0,80.5,0.6,2.2,2.8,2.6,0.8,0.3,1.2,10.0
9,33.9,14.8,5.4,14.1,38.6,0.4,2.4,18.2,3.4,5.1,67.4,2.9,5.9,8.8,4.0,1.9,1.4,1.3,19.2,71,34.0,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,2.2,8.1,10.4,3.9,1.1,0.9,2.3,25.1,75,34.6,20.4,8.0,14.9,54.0,0.0,0.2,8.3,4.3,5.4,80.6,2.5,6.7,9.2,3.2,1.2,0.8,2.5,24.4
